2023/03/28 16:14:56,192.168.200.1,20.52,48.389999
2023/03/28 16:15:01,192.168.200.1,20.52,48.389999
2023/03/28 16:15:06,192.168.200.1,20.52,48.389999
2023/03/28 16:15:11,192.168.200.1,20.52,48.389999
2023/03/28 16:15:16,192.168.200.1,20.52,48.389999
2023/03/28 16:15:21,192.168.200.1,20.52,48.389999
2023/03/28 16:15:26,192.168.200.1,20.52,48.389999
2023/03/28 16:15:31,192.168.200.1,20.52,48.389999
2023/03/28 16:15:36,192.168.200.1,20.52,48.389999
2023/03/28 16:15:42,192.168.200.1,20.52,48.389999
2023/03/28 16:15:47,192.168.200.1,20.52,48.389999
2023/03/28 16:15:53,192.168.200.1,20.52,48.389999
2023/03/28 16:15:58,192.168.200.1,20.52,48.389999
2023/03/28 16:16:03,192.168.200.1,20.52,48.389999
2023/03/28 16:16:08,192.168.200.1,20.52,48.389999
2023/03/28 16:16:13,192.168.200.1,20.52,48.389999
2023/03/28 16:16:19,192.168.200.1,20.52,48.389999
2023/03/28 16:16:24,192.168.200.1,20.52,48.389999
2023/03/28 16:16:29,192.168.200.1,20.52,48.389999
2023/03/28 16:16:34,192.168.200.1,20.52,48.389999
2023/03/28 16:16:39,192.168.200.1,20.52,48.389999
2023/03/28 16:16:44,192.168.200.1,20.52,48.389999
2023/03/28 16:16:49,192.168.200.1,20.52,48.389999
2023/03/28 16:16:54,192.168.200.1,20.52,48.389999
2023/03/28 16:16:59,192.168.200.1,20.52,48.389999
2023/03/28 16:17:04,192.168.200.1,20.52,48.389999
2023/03/28 16:17:10,192.168.200.1,20.52,48.389999
